petunia_id,function,source,upstream_icon,license,status,local_svg,upstream_url
model.object_mode,Seleção — Object,Iconoir,box-3d-center,MIT,approved,svg/iconoir/box-3d-center.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/box-3d-center.svg
model.face_mode,Seleção — Face,Iconoir,select-face-3d,MIT,approved,svg/iconoir/select-face-3d.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/select-face-3d.svg
model.edge_mode,Seleção — Edge,Iconoir,select-edge-3d,MIT,approved,svg/iconoir/select-edge-3d.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/select-edge-3d.svg
model.point_mode,Seleção — Point/Vertex,Iconoir,select-point-3d,MIT,approved,svg/iconoir/select-point-3d.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/select-point-3d.svg
model.extrude,Model — Extrude,Iconoir,extrude,MIT,approved,svg/iconoir/extrude.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/extrude.svg
model.bevel,Model — Bevel/Chamfer,Iconoir,fillet-3d,MIT,approved,svg/iconoir/fillet-3d.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/fillet-3d.svg
model.cut,Model — Cut,Iconoir,cube-cut-with-curve,MIT,approved,svg/iconoir/cube-cut-with-curve.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/cube-cut-with-curve.svg
model.bridge,Model — Bridge,Iconoir,bridge-3d,MIT,approved,svg/iconoir/bridge-3d.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/bridge-3d.svg
model.connect,Model — Connect,Iconoir,bridge-surface,MIT,approved,svg/iconoir/bridge-surface.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/bridge-surface.svg
viewport.perspective,Viewport — Perspective,Iconoir,perspective-view,MIT,approved,svg/iconoir/perspective-view.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/perspective-view.svg
viewport.orthographic,Viewport — Orthographic,Iconoir,orthogonal-view,MIT,approved,svg/iconoir/orthogonal-view.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/orthogonal-view.svg
viewport.xray,Viewport — X-Ray,Iconoir,xray-view,MIT,approved,svg/iconoir/xray-view.svg,https://github.com/iconoir-icons/iconoir/blob/main/icons/regular/xray-view.svg
transform.rotate,Transform — Rotate 3D,Tabler,rotate-3d,MIT,approved_fallback,svg/tabler/rotate-3d.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/rotate-3d.svg
viewport.gizmo,Viewport — Gizmo,Tabler,gizmo,MIT,approved_fallback,svg/tabler/gizmo.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/gizmo.svg
viewport.grid,Viewport — Grid,Tabler,grid-pattern,MIT,approved_fallback,svg/tabler/grid-pattern.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/grid-pattern.svg
uv.pack,UV — Pack,Tabler,layout-grid,MIT,approved_fallback,svg/tabler/layout-grid.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/layout-grid.svg
surface.decal,Pós-GA — Decals/Surface Details,Tabler,sticker,MIT,approved_fallback,svg/tabler/sticker.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/sticker.svg
derived.bake_flatten,Pós-GA — Bake/Flatten,Tabler,layers-union,MIT,approved_fallback,svg/tabler/layers-union.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/layers-union.svg
surface.recipes,Pós-GA — Surface Recipes/Simple Nodes,Tabler,schema,MIT,approved_fallback,svg/tabler/schema.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/schema.svg
parts.hierarchy,Pós-GA — Parts Hierarchy,Tabler,hierarchy,MIT,approved_fallback,svg/tabler/hierarchy.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/hierarchy.svg
parts.linked_instances,Pós-GA — Linked Instances,Tabler,layers-linked,MIT,approved_fallback,svg/tabler/layers-linked.svg,https://github.com/tabler/tabler-icons/blob/main/icons/outline/layers-linked.svg
